ZOOL 409 student sign up (only one student per chemical),Contact (https://www.boisestate.edu/research-gutt-c/) in GUTT group who provided list,Study organism(s),Chemical name,CAS,IUPAC identifier,SMILES notation (2.1.4 PubChem),Links to structures (if available),Chemical formula,M/Z,Molecular weight,literature reference
,Deb Conner (BSU),Sagebrush (Artemisia spp),Rupicolin A,41653-82-1,"(3aR,4S,6aS,9aR,9bS)-4,6a-dihydroxy-6,9-dimethyl-3-methylidene-4,7,9a,9b-tetrahydro-3aH-azuleno[4,5-b]furan-2-one",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Rupicolin B,41653-83-2,"(3aR,4S,6aS,9aR,9bS)-4,6a-dihydroxy-9-methyl-3,6-dimethylidene-3a,4,5,7,9a,9b-hexahydroazuleno[4,5-b]furan-2-one",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Rupin A,41653-84-3,"(1S,2R,4S,5R,9S,10S,11R,13S,14R)-2,4-dihydroxy-2,11-dimethyl-6-methylidene-8,12,15-trioxapentacyclo[8.5.0.01,14.05,9.011,13]pentadecan-7-one",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Rupin B,41653-85-4,"[(1R,2R,4S,5R,9S,10S,11S,13R,14S)-2-hydroxy-2,11-dimethyl-6-methylidene-7-oxo-8,12,15-trioxapentacyclo[8.5.0.01,14.05,9.011,13]pentadecan-4-yl] acetate",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Viscidulin-A,,"[(3S,3aR,4S,6S,6aR,9aR,9bR)-3,9-dimethyl-2-oxospiro[3,3a,4,5,6a,7,9a,9b-octahydroazuleno[4,5-b]furan-6,2'-oxirane]-4-yl] acetate",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Viscidulin-B,,"[(1S,2S,5S,6R,7S,10R)-5,14-dimethyl-9-methylidene-4-oxo-3,13-dioxatetracyclo[8.4.0.02,6.012,14]tetradecan-7-yl] acetate",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Viscidulin-C,35191-38-9,"7-hydroxy-5,14-dimethyl-9-methylidene-3,13-dioxatetracyclo[8.4.0.02,6.012,14]tetradecan-4-one",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Tripartol,,,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Secondriol,,,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Secondrial,,,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Drimachone,,,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Longilobol,,,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Pygmol,41929-25-3,"(1S,2R,4aR,8R,8aS)-2-(2-hydroxypropan-2-yl)-4a,8-dimethyl-1,2,3,4,5,6,7,8a-octahydronaphthalene-1,8-diol",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Desacetoxymatricarin,17946-87-1,"(3S,3aS,9aS,9bS)-3,6,9-trimethyl-3,3a,4,5,9a,9b-hexahydroazuleno[4,5-b]furan-2,7-dione",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Ridentin,,"(3aS,7R,9S,10E,11aR)-7,9-dihydroxy-10-methyl-3,6-dimethylidene-4,5,7,8,9,11a-hexahydro-3aH-cyclodeca[b]furan-2-one",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),"11,13- Dihydroarbusculin",,,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Achillin,,"(3R,3aS,9aS,9bS)-3,6,9-trimethyl-3,3a,4,5,9a,9b-hexahydroazuleno[4,5-b]furan-2,7-dione",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Alpha-bulnesene,3691-11-0,"(3S,3aS,5R)-3,8-dimethyl-5-prop-1-en-2-yl-1,2,3,3a,4,5,6,7-octahydroazulene",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Alpha-copaene,3856-25-5,"1,3-dimethyl-8-propan-2-yltricyclo[4.4.0.02,7]dec-3-ene",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Alpha-himachalene,3853-83-6,"(4aS,9aR)-3,5,5-trimethyl-9-methylidene-2,4a,6,7,8,9a-hexahydro-1H-benzo[7]annulene",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Alpha-humulene,6753-98-6,"(1E,4E,8E)-2,6,6,9-tetramethylcycloundeca-1,4,8-triene",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Alpha-ionone,127-41-3,"(E)-4-(2,6,6-trimethylcyclohex-2-en-1-yl)but-3-en-2-one",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Alpha-longipinene,,"2,6,6,9-tetramethyltricyclo[5.4.0.02,8]undec-9-ene",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Artecalin,,"(3aS,5aR,6R,9S,9bS)-6-hydroxy-5a,9-dimethyl-3-methylidene-3a,4,5,6,7,9,9a,9b-octahydrobenzo[g][1]benzofuran-2,8-dione",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Artemisin,481-05-0,"(3S,3aR,4S,5aS,9bS)-4-hydroxy-3,5a,9-trimethyl-3a,4,5,9b-tetrahydro-3H-benzo[g][1]benzofuran-2,8-dione",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Beta-caryophyllene,87-44-5,"(1R,4E,9S)-4,11,11-trimethyl-8-methylidenebicyclo[7.2.0]undec-4-ene",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Beta-chamigrene,18431-82-8,"(6R)-5,5,9-trimethyl-1-methylidenespiro[5.5]undec-9-ene",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Beta-copaen-4-alpha-ol,,"(4R,8R)-1-methyl-3-methylidene-8-propan-2-yltricyclo[4.4.0.02,7]decan-4-ol",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Beta-elemene,515-13-9,"(1S,2S,4R)-1-ethenyl-1-methyl-2,4-bis(prop-1-en-2-yl)cyclohexane",,,,,,
